2026-04-17 15:41:50 - === Session Started - Malpractice Detection Log ===
2026-04-17 15:42:22 - [2026-04-17 15:42:22] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:22 - [2026-04-17 15:42:22] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:24 - [2026-04-17 15:42:24] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:24 - [2026-04-17 15:42:24] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:24 - [2026-04-17 15:42:24] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:24 - [2026-04-17 15:42:24] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:24 - [2026-04-17 15:42:24] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:25 - [2026-04-17 15:42:25] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:25 - [2026-04-17 15:42:25] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.95
2026-04-17 15:42:25 - [2026-04-17 15:42:25] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:25 - [2026-04-17 15:42:25] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:26 - [2026-04-17 15:42:26] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:26 - [2026-04-17 15:42:26] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:26 - [2026-04-17 15:42:26] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:26 - [2026-04-17 15:42:26] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:26 - [2026-04-17 15:42:26] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:26 - [2026-04-17 15:42:26] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:26 - [2026-04-17 15:42:26] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:26 - [2026-04-17 15:42:26] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:27 - [2026-04-17 15:42:27] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:27 - [2026-04-17 15:42:27] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:27 - [2026-04-17 15:42:27] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.94
2026-04-17 15:42:27 - [2026-04-17 15:42:27] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:27 - [2026-04-17 15:42:27] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:27 - [2026-04-17 15:42:27] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:27 - [2026-04-17 15:42:27] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:28 - [2026-04-17 15:42:28] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:28 - [2026-04-17 15:42:28] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
